level01,0291B49A#*62*DD4400#670*DC1B0#
level02,0081A#1*186C**D57DB49537099ABD
level03,58A4532CD47880*5305950051C*21*
level04,6C5C#16B#CB#D9C7#365B705*88454
level05,#4#081*52494*#195777DA5D*91467
level06,6CACD1B83DCDCB0**42##20#0029C9
level07,195#8A2C0652C27A9#8*659BC*C262
level08,41B977D13D95AAA05D016A2937AD23
level09,10B7062ACA4*0**75D9660#C255D40
level10,8C3650B9A9954*698*DABCA50D97DD
level11,#9DA2306#B2CC7*34CA#0400621243
level12,4D8608A989204827B81503D2579B59
level13,B#2D2934**C78CA*A0C74384B30D38
level14,90BD8D35CC7C*90920D8*8C64383B1
level15,C*19#*D**02A8#0D*13A3#2DA76BB5
level16,D5CCD#D355105##A24500##52261C*
testtones,1234567890ABCD*#
